name,size,insert,lookup,delete,checksum
std::map_unordered,10000000,412.776728,108.932550,241.797294,538635611954605
google::dense_hash_map,10000000,86.283214,27.718490,34.231489,538635611954605
ulib::align_hash_map,10000000,103.157395,59.413050,36.966700,538635611954605
tommyds hashdyn,10000000,350.521895,63.470430,138.226151,538635611954605
khash,10000000,107.522466,55.553010,35.463883,538635611954605
libdynamic,10000000,76.265303,24.041120,30.897615,538635611954605
std::map_unordered,9090909,372.652463,85.600140,240.716614,536483272845125
google::dense_hash_map,9090909,101.797426,34.659430,40.078169,536483272845125
ulib::align_hash_map,9090909,132.465916,72.379940,43.616889,536483272845125
tommyds hashdyn,9090909,475.401831,107.278950,173.535739,536483272845125
khash,9090909,138.741172,88.888810,44.910549,536483272845125
libdynamic,9090909,83.481483,25.029640,31.659697,536483272845125
std::map_unordered,8264462,373.455269,84.946680,212.879100,536572970643485
google::dense_hash_map,8264462,71.376838,29.665730,38.170843,536572970643485
ulib::align_hash_map,8264462,82.744481,58.268750,33.886255,536572970643485
tommyds hashdyn,8264462,262.963258,55.653650,126.427898,536572970643485
khash,8264462,85.641149,52.543720,34.155871,536572970643485
libdynamic,8264462,61.449865,25.541400,40.387497,536572970643485
std::map_unordered,7513147,290.407212,91.321230,217.488668,536315906404930
google::dense_hash_map,7513147,81.465359,31.889140,37.484193,536315906404930
ulib::align_hash_map,7513147,85.708550,57.073760,33.276802,536315906404930
tommyds hashdyn,7513147,285.139274,60.505330,138.951915,536315906404930
khash,7513147,91.412300,52.082930,36.452707,536315906404930
libdynamic,7513147,68.378387,25.799230,44.845862,536315906404930
std::map_unordered,6830133,376.962269,118.607700,275.113553,538457052463480
google::dense_hash_map,6830133,82.612218,33.492210,41.680010,538457052463480
ulib::align_hash_map,6830133,99.959716,72.411710,39.421355,538457052463480
tommyds hashdyn,6830133,363.937471,105.994960,158.675113,538457052463480
khash,6830133,107.312685,77.735770,39.910379,538457052463480
libdynamic,6830133,68.697240,26.216110,40.477217,538457052463480
std::map_unordered,6209211,386.528960,119.856160,275.518094,538301696210310
google::dense_hash_map,6209211,84.976707,33.176920,41.227805,538301696210310
ulib::align_hash_map,6209211,102.824030,72.910580,38.418956,538301696210310
tommyds hashdyn,6209211,380.972817,101.531480,161.408874,538301696210310
khash,6209211,109.103380,76.035940,39.067743,538301696210310
libdynamic,6209211,70.645917,29.227680,38.610378,538301696210310
std::map_unordered,5644737,396.576911,118.856430,268.799070,536426411632740
google::dense_hash_map,5644737,87.525458,33.248690,40.340330,536426411632740
ulib::align_hash_map,5644737,104.057462,71.130960,37.628296,536426411632740
tommyds hashdyn,5644737,390.763860,93.518890,161.627022,536426411632740
khash,5644737,110.869714,76.665720,38.345052,536426411632740
libdynamic,5644737,73.731148,29.359460,37.088835,536426411632740
std::map_unordered,5131579,407.377992,112.917040,269.023225,537746480972830
google::dense_hash_map,5131579,90.683800,32.503620,39.512135,537746480972830
ulib::align_hash_map,5131579,104.945314,70.002720,37.004791,537746480972830
tommyds hashdyn,5131579,402.679268,86.829310,159.499268,537746480972830
khash,5131579,112.705509,60.114570,36.782432,537746480972830
libdynamic,5131579,77.018195,28.032710,36.318605,537746480972830
std::map_unordered,4665071,417.326305,112.525730,261.502692,534619935229340
google::dense_hash_map,4665071,94.035883,30.335240,38.622212,534619935229340
ulib::align_hash_map,4665071,106.984219,72.797290,37.063459,534619935229340
tommyds hashdyn,4665071,425.411732,81.742630,161.958355,534619935229340
khash,4665071,115.711055,78.305660,37.542495,534619935229340
libdynamic,4665071,80.474674,22.419520,35.436823,534619935229340
std::map_unordered,4240973,420.874031,112.248640,255.610982,538608695377910
google::dense_hash_map,4240973,92.249556,30.479620,38.910218,538608695377910
ulib::align_hash_map,4240973,109.518366,70.800060,35.323484,538608695377910
tommyds hashdyn,4240973,440.935437,79.953820,162.144607,538608695377910
khash,4240973,118.598491,56.228650,36.043304,538608695377910
libdynamic,4240973,83.804857,26.837170,31.694733,538608695377910
std::map_unordered,3855429,448.080610,106.359550,262.015731,539139236435890
google::dense_hash_map,3855429,83.279561,32.720520,43.211864,539139236435890
ulib::align_hash_map,3855429,88.840918,53.511990,32.843338,539139236435890
tommyds hashdyn,3855429,246.690376,51.843720,118.191766,539139236435890
khash,3855429,76.039453,42.562750,28.297082,539139236435890
libdynamic,3855429,58.823133,22.395900,36.424972,539139236435890
std::map_unordered,3504935,279.758816,89.096230,205.180459,537369658758505
google::dense_hash_map,3504935,70.773970,26.468410,34.945128,537369658758505
ulib::align_hash_map,3504935,76.452063,48.449500,27.863306,537369658758505
tommyds hashdyn,3504935,266.775164,48.870470,124.033795,537369658758505
khash,3504935,82.559852,43.643570,28.609126,537369658758505
libdynamic,3504935,62.617410,23.016950,33.304432,537369658758505
